# curie_map:										
#   aio: http://w3id.org/sssom/unknown_prefix/aio/										
#   ito: http://w3id.org/sssom/unknown_prefix/ito/										
#   oio: http://www.geneontology.org/formats/oboInOwl#										
#   owl: http://www.w3.org/2002/07/owl#										
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#										
#   rdfs: http://www.w3.org/2000/01/rdf-schema#										
#   semapv: https://w3id.org/semapv/vocab/										
#   skos: http://www.w3.org/2004/02/skos/core#										
#   sssom: https://w3id.org/sssom/										
# license: https://w3id.org/sssom/license/unspecified										
# mapping_set_id: https://w3id.org/sssom/mappings/d9d2417b-e875-4d64-98eb-e317574b26e8										
aio:NaturalLanguageProcessing	Natural Language Processing	skos:closeMatch	ito:ITO_00141	Natural language processing	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	natural language processing
aio:CrossDomainLLM	Cross-Domain LLM	skos:closeMatch	ito:ITO_00248	Domain adaptation	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	domain adaptation
aio:PromptbasedFineTuningLLM	Prompt-based Fine-Tuning LLM	skos:closeMatch	ito:ITO_00473	Few-shot learning	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	few-shot learning
aio:OneshotLearning	One-shot Learning	skos:closeMatch	ito:ITO_00476	One-shot learning	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	one-shot learning
aio:ZeroshotLearning	Zero-shot Learning	skos:closeMatch	ito:ITO_00482	Zero-shot learning	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	zero-shot learning
aio:ReasoningLLM	Reasoning LLM	skos:closeMatch	ito:ITO_00506x	Reasoning	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	reasoning
aio:TimeSeriesAnalysis	Time Series Analysis	skos:closeMatch	ito:ITO_00510	Time Series Analysis	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	time series analysis
aio:TimeSeriesForecasting	Time Series Forecasting	skos:closeMatch	ito:ITO_00514	Time series forecasting	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	time series forecasting
aio:GenerativeAdversarialNetworkAugmentedLLM	Generative Adversarial Network-Augmented LLM	skos:closeMatch	ito:ITO_00530	Text generation	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	text generation
aio:RepresentationLearning	Representation Learning	skos:closeMatch	ito:ITO_00565	Representation learning	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	representation learning
aio:TransferLearning	Transfer Learning	skos:closeMatch	ito:ITO_00713	Transfer learning	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	transfer learning
aio:VocabularyReduction	Vocabulary Reduction	skos:closeMatch	ito:ITO_00757	Lexical Simplification	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	lexical simplification
aio:Classification	Classification	skos:closeMatch	ito:ITO_00774	Classification	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	classification
aio:Tokenization	Tokenization	skos:closeMatch	ito:ITO_00915	Lexical Analysis	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	lexical analysis
aio:MultilingualLLM	Multilingual LLM	skos:closeMatch	ito:ITO_00969	Cross-lingual transfer	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	cross-lingual transfer
